trans_id,lang,translation,category,station_sid,course_sid
東畑,ja,東畑,stop_name,8213741e-1b89-4c46-b6a1-b5ac597af3fb,
東畑,ja-Hrkt,ひがしはた,stop_name,8213741e-1b89-4c46-b6a1-b5ac597af3fb,
津江口,ja,津江口,stop_name,3f4253b1-13aa-4425-a37a-e7490227d9b9,
津江口,ja-Hrkt,つえぐち,stop_name,3f4253b1-13aa-4425-a37a-e7490227d9b9,
津江口,en,Tsue-guchi,stop_name,3f4253b1-13aa-4425-a37a-e7490227d9b9,
津江口,ko,쓰에구치,stop_name,3f4253b1-13aa-4425-a37a-e7490227d9b9,
津江口,zh-ch,津江口,stop_name,3f4253b1-13aa-4425-a37a-e7490227d9b9,
津江口,zh-tw,津江口,stop_name,3f4253b1-13aa-4425-a37a-e7490227d9b9,
下向,ja,下向,stop_name,94489384-16a5-4e9c-9784-5beb6636b4c1,
下向,ja-Hrkt,しもむかい,stop_name,94489384-16a5-4e9c-9784-5beb6636b4c1,
矢野出張所,ja,矢野出張所,stop_name,8f4156a5-cca2-47c7-8b71-5d5ed0249f44,
矢野出張所,ja-Hrkt,やのしゅっちょうしょ,stop_name,8f4156a5-cca2-47c7-8b71-5d5ed0249f44,
呉越,en,Kuregoe,stop_name,41a42201-b0f6-4962-b145-44a1f24747a9,
呉越,ko,구레고에,stop_name,41a42201-b0f6-4962-b145-44a1f24747a9,
呉越,zh-ch,吴越,stop_name,41a42201-b0f6-4962-b145-44a1f24747a9,
呉越,zh-tw,吳越,stop_name,41a42201-b0f6-4962-b145-44a1f24747a9,
オークアリーナ入口,ja,オークアリーナ入口,stop_name,07eea466-3f4a-4fb5-a8e7-114f892b0e02,
オークアリーナ入口,ja-Hrkt,おーくありーないりぐち,stop_name,07eea466-3f4a-4fb5-a8e7-114f892b0e02,
六本松口,en,Ropponmatsu-guchi,stop_name,c575f3d2-9a95-4895-8b30-8ac05f2f7e60,
六本松口,ko,롯폰마쓰 구치,stop_name,c575f3d2-9a95-4895-8b30-8ac05f2f7e60,
六本松口,zh-ch,六本松口,stop_name,c575f3d2-9a95-4895-8b30-8ac05f2f7e60,
六本松口,zh-tw,六本松口,stop_name,c575f3d2-9a95-4895-8b30-8ac05f2f7e60,
四季が丘中央,en,Shikigaoka-chuo,stop_name,f8ff3607-44f3-48f9-bbe9-3225cce627a8,
四季が丘中央,ko,시키가오카 추오,stop_name,f8ff3607-44f3-48f9-bbe9-3225cce627a8,
四季が丘中央,zh-ch,四季丘中央,stop_name,f8ff3607-44f3-48f9-bbe9-3225cce627a8,
四季が丘中央,zh-tw,四季丘中央,stop_name,f8ff3607-44f3-48f9-bbe9-3225cce627a8,
柳ヶ丘,ja,柳ヶ丘,stop_name,d1cf7fdd-13b4-4499-8699-26b7c4b8c1a8,
柳ヶ丘,ja-Hrkt,やなぎがおか,stop_name,d1cf7fdd-13b4-4499-8699-26b7c4b8c1a8,
玖島分れ,ja,玖島分れ,stop_name,16c38853-aed2-41e2-8515-96def2cd911a,
玖島分れ,ja-Hrkt,くじまわかれ,stop_name,16c38853-aed2-41e2-8515-96def2cd911a,
玖島分れ,en,Kujima-wakare,stop_name,16c38853-aed2-41e2-8515-96def2cd911a,
玖島分れ,ko,구지마 와카레,stop_name,16c38853-aed2-41e2-8515-96def2cd911a,
玖島分れ,zh-ch,玖岛分,stop_name,16c38853-aed2-41e2-8515-96def2cd911a,
玖島分れ,zh-tw,玖島分,stop_name,16c38853-aed2-41e2-8515-96def2cd911a,
皆賀,ja,皆賀,stop_name,01004d53-daa4-40cf-b114-7f213edbbf60,
皆賀,ja-Hrkt,みなが,stop_name,01004d53-daa4-40cf-b114-7f213edbbf60,
下伏,ja,下伏,stop_name,e71eff83-b5ee-4fa8-aa30-078473ec61b8,
下伏,ja-Hrkt,しもふし,stop_name,e71eff83-b5ee-4fa8-aa30-078473ec61b8,
舟入本町,ja,舟入本町,stop_name,4a6a0d0e-31c9-4142-afd5-3e41e741c052,
舟入本町,ja-Hrkt,ふないりほんまち,stop_name,4a6a0d0e-31c9-4142-afd5-3e41e741c052,
舟入本町,en,Funairi-honmachi,stop_name,4a6a0d0e-31c9-4142-afd5-3e41e741c052,
舟入本町,ko,후나이리 혼마치,stop_name,4a6a0d0e-31c9-4142-afd5-3e41e741c052,
舟入本町,zh-ch,舟入本町,stop_name,4a6a0d0e-31c9-4142-afd5-3e41e741c052,
舟入本町,zh-tw,舟入本町,stop_name,4a6a0d0e-31c9-4142-afd5-3e41e741c052,
広島文化学園大学入口,ja,広島文化学園大学入口,stop_name,7fa5ff59-462d-4995-922a-ca9cd935a06b,
広島文化学園大学入口,ja-Hrkt,ひろしまぶんかがくえんだいがくいりぐち,stop_name,7fa5ff59-462d-4995-922a-ca9cd935a06b,
合同庁舎,ja,合同庁舎,stop_name,5b8c2ccf-6ce4-488c-8df0-0a8158067267,
合同庁舎,ja-Hrkt,ごうどうちょうしゃまえ,stop_name,5b8c2ccf-6ce4-488c-8df0-0a8158067267,
己斐,ja,己斐,stop_name,b48ff7ad-84fb-4bcb-bf51-955ef8c7bac2,
己斐,ja-Hrkt,こい,stop_name,b48ff7ad-84fb-4bcb-bf51-955ef8c7bac2,
広島北インター入口,ja,広島北インター入口,stop_name,417fb5d8-bbc6-4451-9e52-ae712cd3771a,
広島北インター入口,ja-Hrkt,ひろしまきたいんたーいりぐち,stop_name,417fb5d8-bbc6-4451-9e52-ae712cd3771a,
大林,en,Obayashi,stop_name,cb2bc0ac-7648-4483-886c-e426b89f043d,
大林,ko,오바야시,stop_name,cb2bc0ac-7648-4483-886c-e426b89f043d,
大林,zh-ch,大林,stop_name,cb2bc0ac-7648-4483-886c-e426b89f043d,
大林,zh-tw,大林,stop_name,cb2bc0ac-7648-4483-886c-e426b89f043d,
府中町役場東口,ja,府中町役場東口,stop_name,888b558f-539a-437a-b3bf-30e04ed1ae6d,
府中町役場東口,ja-Hrkt,ふちゅうちょうやくばひがしぐち,stop_name,888b558f-539a-437a-b3bf-30e04ed1ae6d,
愛郷小学校,ja,愛郷小学校,stop_name,1056ac2b-84c2-4174-b494-408074ae0b4a,
愛郷小学校,ja-Hrkt,あいきょうしょうがっこう,stop_name,1056ac2b-84c2-4174-b494-408074ae0b4a,
愛郷小学校,en,Aikyo Elementary School,stop_name,1056ac2b-84c2-4174-b494-408074ae0b4a,
愛郷小学校,ko,애향 초등학교,stop_name,1056ac2b-84c2-4174-b494-408074ae0b4a,
愛郷小学校,zh-ch,爱京小学,stop_name,1056ac2b-84c2-4174-b494-408074ae0b4a,
愛郷小学校,zh-tw,愛京小學,stop_name,1056ac2b-84c2-4174-b494-408074ae0b4a,
西翠町,ja,西翠町,stop_name,1002916a-2c03-4200-81c0-8207abfc17c8,
西翠町,ja-Hrkt,にしみどりまち,stop_name,1002916a-2c03-4200-81c0-8207abfc17c8,
戸坂小学校,ja,戸坂小学校,stop_name,0eee1605-3a14-4572-bcdd-094da036a9c3,
戸坂小学校,ja-Hrkt,へさかしょうがっこう,stop_name,0eee1605-3a14-4572-bcdd-094da036a9c3,
五日市観音中学校,ja,五日市観音中学校,stop_name,8a16fc84-ef31-42dc-8cbd-9343ae932820,
五日市観音中学校,ja-Hrkt,いつかいちかんのんちゅうがっこう,stop_name,8a16fc84-ef31-42dc-8cbd-9343ae932820,
中山新町二丁目,ja,中山新町二丁目,stop_name,d6b63639-a88b-4f97-9094-d1e6cb796e3b,
中山新町二丁目,ja-Hrkt,なかやましんまちにちょうめ,stop_name,d6b63639-a88b-4f97-9094-d1e6cb796e3b,
押込口,ja,押込口,stop_name,52d41a53-022d-4b65-869b-c6df99901e58,
押込口,ja-Hrkt,おしごめぐち,stop_name,52d41a53-022d-4b65-869b-c6df99901e58,
矢賀新町二丁目,ja,矢賀新町二丁目,stop_name,8d63e047-813b-42c2-81d8-350261d383a4,
矢賀新町二丁目,ja-Hrkt,やがしんまちにちょうめ,stop_name,8d63e047-813b-42c2-81d8-350261d383a4,
宮内郵便局,ja,宮内郵便局,stop_name,35e09015-12cb-42c0-9e46-ad1148038c2d,
宮内郵便局,ja-Hrkt,みやうちゆうびんきょく,stop_name,35e09015-12cb-42c0-9e46-ad1148038c2d,
宮内郵便局,en,Miyauchi Yubinkyoku (Miyauchi Post Office),stop_name,35e09015-12cb-42c0-9e46-ad1148038c2d,
宮内郵便局,ko,미야우치 우체국,stop_name,35e09015-12cb-42c0-9e46-ad1148038c2d,
宮内郵便局,zh-ch,宫内邮局,stop_name,35e09015-12cb-42c0-9e46-ad1148038c2d,
宮内郵便局,zh-tw,宮內郵局,stop_name,35e09015-12cb-42c0-9e46-ad1148038c2d,
矢野祇園,ja,矢野祇園,stop_name,688b2e6f-2af3-46af-84b6-3c00a6612785,
矢野祇園,ja-Hrkt,やのぎおん,stop_name,688b2e6f-2af3-46af-84b6-3c00a6612785,
久次郎原,ja,久次郎原,stop_name,fc2e71cc-1f6d-4dd5-8e35-877df171d560,
久次郎原,ja-Hrkt,きゅうじろうばら,stop_name,fc2e71cc-1f6d-4dd5-8e35-877df171d560,
久次郎原,en,Kyujirobara,stop_name,fc2e71cc-1f6d-4dd5-8e35-877df171d560,
久次郎原,ko,규지로바라,stop_name,fc2e71cc-1f6d-4dd5-8e35-877df171d560,
久次郎原,zh-ch,久次郎原,stop_name,fc2e71cc-1f6d-4dd5-8e35-877df171d560,
久次郎原,zh-tw,久次郎原,stop_name,fc2e71cc-1f6d-4dd5-8e35-877df171d560,
鵜渡瀬,ja,鵜渡瀬,stop_name,c2f9f02c-c5e4-4f30-86e9-28a7ee37c5b0,
鵜渡瀬,ja-Hrkt,うどせ,stop_name,c2f9f02c-c5e4-4f30-86e9-28a7ee37c5b0,
鵜渡瀬,en,Udose,stop_name,c2f9f02c-c5e4-4f30-86e9-28a7ee37c5b0,
