trans_id,lang,translation
砂谷中学校,ja,砂谷中学校
砂谷中学校,ja-Hrkt,さこたにちゅうがっこう
広島バスセンター,ja,広島バスセンター
広島バスセンター,ja-Hrkt,ひろしまばすせんたー
広島バスセンター,en,Hiroshima Bus Center
広島バスセンター,ko,히로시마 버스센터
広島バスセンター,zh-ch,广岛巴士中心
広島バスセンター,zh-tw,廣島公車中心
津田神社,ja,津田神社
津田神社,ja-Hrkt,つたじんじゃまえ
津田神社,en,Tsuta Jinja-mae (Tsuta Jinja Shrine)
津田神社,ko,쓰타진자 신사
津田神社,zh-ch,津田神社
津田神社,zh-tw,津田神社
上行森,ja,上行森
上行森,ja-Hrkt,かみゆきもり
上行森,en,Kami-yukimori
上行森,ko,가미유키모리
上行森,zh-ch,上行森
上行森,zh-tw,上行森
釣士田造船所前,ja,釣士田造船所前
釣士田造船所前,ja-Hrkt,りょうしだぞうせんしょまえ
鈴が峰住宅西,ja,鈴が峰住宅西
鈴が峰住宅西,ja-Hrkt,すずがみねじゅうたくにし
矢賀入口,ja,矢賀入口
矢賀入口,ja-Hrkt,やがいりぐち
花上,ja,花上
花上,ja-Hrkt,はながみ
呉駅前,ja,呉駅前
呉駅前,ja-Hrkt,くれえきまえ
呉駅前,en,Kure Sta.
呉駅前,ko,구레 역
呉駅前,zh-ch,吴站前
呉駅前,zh-tw,吳站前
友田,en,Tomoda
友田,ko,도모다
友田,zh-ch,友田
友田,zh-tw,友田
馬橋,ja,馬橋
馬橋,ja-Hrkt,まばし
海田市駅入口,ja,海田市駅入口
海田市駅入口,ja-Hrkt,かいたいちえきいりぐち
セントラルシティ入口,ja,セントラルシティ入口
セントラルシティ入口,ja-Hrkt,せんとらるしてぃいりぐち
セントラルシティ入口,en,Central City-iriguchi
セントラルシティ入口,ko,센트럴 시티 이리구치
セントラルシティ入口,zh-ch,Central City入口
セントラルシティ入口,zh-tw,Central City入口
淀川製鋼前,en,Yodogawa Seiko-mae
淀川製鋼前,ko,요도가와 세이코 마에
淀川製鋼前,zh-ch,淀川制钢前
淀川製鋼前,zh-tw,澱川制鋼前
来見,ja,来見
来見,ja-Hrkt,くるみ
神田橋,ja,神田橋
神田橋,ja-Hrkt,かんだばし
神田橋,en,Jindembashi
神田橋,ko,진덴바시
神田橋,zh-ch,神田桥
神田橋,zh-tw,神田橋
畑口,ja,畑口
畑口,ja-Hrkt,はたぐち
畑口,en,Hataguchi
畑口,ko,하타구치
畑口,zh-ch,畑口
畑口,zh-tw,畑口
薬師が丘団地中,ja,薬師が丘団地中
薬師が丘団地中,ja-Hrkt,やくしがおかだんちなか
警固屋市民センター,ja,警固屋市民センター
警固屋市民センター,ja-Hrkt,けごやしみんせんたー
東観音台中,ja,東観音台中
東観音台中,ja-Hrkt,ひがしかんのんだいなか
東観音台中,en,Higashi-kannondai-naka
東観音台中,ko,히가시칸논다이 나카
東観音台中,zh-ch,东观音台中
東観音台中,zh-tw,東觀音臺中
旭橋入口,ja,旭橋入口
旭橋入口,ja-Hrkt,あさひばしいりぐち
幸の神,ja,幸の神
幸の神,ja-Hrkt,さいのかみ
八幡学校,ja,八幡学校
八幡学校,ja-Hrkt,やはたがっこう
中島駅口,ja,中島駅口
中島駅口,ja-Hrkt,なかしまえきぐち
中島駅口,en,Nakashima Sta.
中島駅口,ko,나카시마 역
中島駅口,zh-ch,中岛站口
中島駅口,zh-tw,中島站口
広電ボウル前,ja,広電ボウル前
広電ボウル前,ja-Hrkt,ひろでんぼうるまえ
新町下,ja,新町下
新町下,ja-Hrkt,しんまちしも
津都見,ja,津都見
津都見,ja-Hrkt,つつみ
東のりば,ja,東のりば
東のりば,ja-Hrkt,ひがしのりば
ゆりかご荘前,ja,ゆりかご荘前
ゆりかご荘前,ja-Hrkt,ゆりかごそうまえ
府中大橋,ja,府中大橋
府中大橋,ja-Hrkt,ふちゅうおおはし
ふじタウン南,ja,ふじタウン南
ふじタウン南,ja-Hrkt,ふじたうんみなみ
坪の内町,ja,坪の内町
坪の内町,ja-Hrkt,つぼのうちちょう
広島修道大学,ja,広島修道大学
広島修道大学,ja-Hrkt,ひろしましゅうどうだいがくきゃんぱす
広島修道大学,en,Hiroshima Shudo Daigaku Campus (Hiroshima Shudo Univ.)
広島修道大学,ko,히로시마 슈도 대학
広島修道大学,zh-ch,广岛修道大学校园
広島修道大学,zh-tw,廣島修道大學校園
大津江橋,ja,大津江橋
大津江橋,ja-Hrkt,おおつえばし
庄原中学校前,ja,庄原中学校前
庄原中学校前,ja-Hrkt,しようばらちゆうがつこうまえ
中山,ja,中山
中山,ja-Hrkt,なかやま
中山,en,Nakayama
中山,ko,나카야마（나카야마 산)
中山,zh-ch,中山
中山,zh-tw,中山
旭橋西,ja,旭橋西
旭橋西,ja-Hrkt,あさひばしにし
佐伯工業団地入口,ja,佐伯工業団地入口
佐伯工業団地入口,ja-Hrkt,さえきこうぎょうだんちいりぐち
あさひが丘上,ja,あさひが丘上
あさひが丘上,ja-Hrkt,あさひがおかかみ
大森,ja,大森
大森,ja-Hrkt,おおもり
大森,en,Omori
大森,ko,오모리
大森,zh-ch,大森
大森,zh-tw,大森
大屋橋,ja,大屋橋
大屋橋,ja-Hrkt,おおやばし
津都見,en,Tsutsumi
津都見,ko,쓰쓰미
