service_id,date,exception_type
46111879-7cb3-48e5-af85-5fcf4051b495,20240112,1
0dc22f41-e3a2-4f23-8af1-7eb7302841cd,20240112,1
edb5b232-1423-4785-b3fb-508c8bdf8bd2,20240112,1
888a08e4-4634-4a12-bb2e-00c841a62b40,20240112,1
96b777eb-8ec8-4c32-b4f5-c2bd137fa4bb,20240112,1
a80d9e11-a3c4-45ab-b0de-1b137e4e9139,20240112,1
28073598-d39b-4485-b100-3e4ff7a50f61,20240112,1
bcfa588f-655d-4a8f-81b0-11d3c069e184,20240112,1
1e8204a9-341c-41fe-a454-c687d1e0dd42,20240112,1
ca46bc6b-1d93-4aed-a9e8-d9595749f95b,20240112,1
db9afa3e-3ecc-4cac-85e1-e6647a9b82b5,20240112,1
f0a8d13f-c978-4803-8c19-c3f525f942a7,20240112,1
913a5e88-907f-49ed-a5b0-b46d55c659bd,20240112,1
ff256ba8-6db8-4052-ac69-35fe15717743,20240112,1
fae706e2-7794-4838-bd70-987eee78c28c,20240113,1
883af0c7-31a8-4ca6-b542-ee10955693dd,20240113,1
6a8aaca2-ede5-457f-82bc-9e68a1cb2794,20240113,1
814287c1-e878-40dc-a98e-7a1ba8514cd1,20240113,1
17bee254-22e5-45ca-bcd7-7cba87bbeef2,20240113,1
58711780-0c50-448c-92cb-aa76639897f5,20240113,1
7ead2c09-990b-4523-bccf-7678947b6e4b,20240113,1
b3e86ac4-6120-4725-9e30-b7e1ff6b5ff9,20240113,1
9cc92f9f-6f43-499a-acb2-8eaaa41d8ca1,20240113,1
054b1e93-0ab4-458a-98a4-a98c5fd06255,20240113,1
095b3de3-3cfa-4801-8e11-435883233419,20240113,1
4586715f-8047-44fd-8dfc-591c4a924483,20240113,1
f685c575-d370-41d8-9d21-3451421bb2dc,20240113,1
99ce0fd7-0488-4cdc-9003-b2b379a480a7,20240113,1
540657ac-9351-443b-8d24-2bd690b6af41,20240113,1
3c5e5563-75a8-4231-9128-92b8759e022c,20240113,1
